id,category,brand,name,model_name,image_url,monthly_price,max_card_discount,final_price,contracts,management,features,purposes,recommended,popular,source_url,verified_at,data_status,active,display_order
coway-ap-1623m,공기청정기,코웨이,노블 공기청정기2 16평형,AP-1623M,/rental/products/coway-ap-1623m.webp,30900,30900,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,16평형|4D 입체청정|펫필터,아이 있는 집|부모님,true,false,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,611
coway-noble-aircare2,공기청정기,코웨이,노블 공기청정기2 20평형,AP-2023K,/rental/products/coway-ap-2023k.webp,33900,33900,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,20평형|4D 입체청정|펫필터,아이 있는 집|부모님,true,true,https://coway-bilrigo.com/model/list.php?ca_id=086002,2026-07-19,verified,true,612
coway-apd-1023a,공기청정기,코웨이,듀얼클린 제습공기청정기 9평형,APD-1023A,/rental/products/coway-apd-1023a.webp,33900,33900,0,3년|5년|6년|7년,자가관리|2개월 방문|4개월 방문,9평형|제습 12.5L|청정·제습,아이 있는 집|신혼부부,false,true,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=38357,2026-07-19,verified,true,613
coway-apms-1020a,공기청정기,코웨이,듀얼클린 가습공기청정기 12평형 화이트,APMS-1020A,/rental/products/coway-apms-1020a.webp,26400,26400,0,3년|5년|6년|7년,자가관리|4개월 방문,12평형|가습 550mL|청정·가습,아이 있는 집|부모님,false,true,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=16775,2026-07-19,verified,true,614
coway-apd-1025e,공기청정기,코웨이,노블 제습공기청정기 9평형,APD-1025E,/rental/products/coway-apd-1025e.webp,37900,37900,0,3년|5년|6년|7년,자가관리|4개월 방문|6개월 방문,9평형|제습 21L|에어매칭 필터,아이 있는 집|신혼부부,true,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=114349,2026-07-19,verified,true,615
coway-ap-3525i,공기청정기,코웨이,파워업 공기청정기2 35평형,AP-3525I,/rental/products/coway-ap-3525i.webp,45900,42000,3900,3년|5년|6년|7년,방문관리,35평형|대형공간|파워 청정,업소용|아이 있는 집,false,true,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=109459,2026-07-19,verified,true,616
coway-ap-3522f,공기청정기,코웨이,파워업 공기청정기 35평형 베이지,AP-3522F,/rental/products/coway-ap-3522f.webp,45900,42000,3900,3년|5년|6년|7년,방문관리,35평형|대형공간|베이지,업소용|부모님,false,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=72707,2026-07-19,verified,true,617
coway-ap-3024h,공기청정기,코웨이,노블 공기청정기2 30평형,AP-3024H,/rental/products/coway-ap-3024h.webp,47900,42000,5900,3년|5년|6년|7년,자가관리|4개월 방문|6개월 방문,30평형|4D 입체청정|에어매칭,업소용|아이 있는 집,true,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=98521,2026-07-19,verified,true,618
coway-ap-3021d,공기청정기,코웨이,노블 공기청정기 30평형,AP-3021D,/rental/products/coway-ap-3021d.webp,47900,42000,5900,3년|5년|6년|7년,자가관리|4개월 방문|6개월 방문,30평형|4D 입체필터|펫필터,업소용|아이 있는 집,false,true,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=12543,2026-07-19,verified,true,619
coway-ap-4025d,공기청정기,코웨이,노블 공기청정기2 40평형,AP-4025D,/rental/products/coway-ap-4025d.webp,51900,42000,9900,3년|5년|6년|7년,자가관리|4개월 방문|6개월 방문,40평형|대형공간|4D 입체청정,업소용|아이 있는 집,true,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=102537,2026-07-19,verified,true,620
coway-ap-3519a,공기청정기,코웨이,벽걸이 공기청정기 35평형 화이트,AP-3519A,/rental/products/coway-ap-3519a.webp,51900,42000,9900,3년|5년|6년|7년,방문관리,35평형|벽걸이|업소용,업소용,false,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=16771,2026-07-19,verified,true,621
coway-ap-3018b,공기청정기,코웨이,콰트로파워 공기청정기 30평형,AP-3018B,/rental/products/coway-ap-3018b.webp,51900,42000,9900,3년|5년|6년|7년,방문관리,30평형|콰트로 흡입|대형공간,업소용|아이 있는 집,false,false,https://coway-bilrigo.com/model/view.php?ca_id=086002&index_no=12535,2026-07-19,verified,true,622
